001-TIME,002-NumDens-Spec-001,003-NumDens-Spec-002,004-NumDens-Spec-003,005-NumDens-Spec-004,006-TempTra-001,007-TempTra-002,008-TempTra-003,009-TempTra-004,010-TempVib001,011-TempVib002,012-TempVib003,013-XiVibMean001,014-XiVibMean002,015-XiVibMean003,016-TempRot001,017-TempRot002,018-TempRot003,019-TempTotal001,020-TempTotal002,021-TempTotal003,022-TempTotal004
3.90000000000037E-005,3.18426041106945E+021,1.18300148435015E+022,1.18306565166294E+022,2.68449317712004E+022,3.68207943423722E+003,3.89831726943018E+003,3.97604063656050E+003,3.90692078847887E+003,3.82019559451347E+003,3.88423047171593E+003,0.00000000000000E+000,1.19229234387463E+001,8.03079067378890E+000,0.00000000000000E+000,3.76419894139169E+003,3.81244094920957E+003,0.00000000000000E+000,3.78770433034084E+003,3.87189273691530E+003,3.97604063656050E+003,3.90780492420344E+003
4.00000000000038E-005,3.10613586417702E+021,1.19081393903939E+022,1.19087810635219E+022,2.69230563180928E+022,3.82338270570244E+003,3.86773884294131E+003,3.91736600925966E+003,3.88457284813223E+003,3.74781605703439E+003,3.86159715506147E+003,0.00000000000000E+000,1.18257034662630E+001,8.01175764181217E+000,0.00000000000000E+000,3.73119718391957E+003,3.86089432252847E+003,0.00000000000000E+000,3.75773674975736E+003,3.86276164608805E+003,3.91736600925966E+003,3.87479779106249E+003
4.10000000000040E-005,3.05325982925539E+021,1.19610154253156E+022,1.19616570984435E+022,2.69759323530145E+022,3.97384548810460E+003,3.88477988828919E+003,3.69576116938304E+003,3.81104613715769E+003,3.74781605703439E+003,3.85235906663107E+003,0.00000000000000E+000,1.18257034662630E+001,8.00393828218309E+000,0.00000000000000E+000,3.54117058465445E+003,3.97426872649199E+003,0.00000000000000E+000,3.75107830562844E+003,3.88542058370061E+003,3.69576116938304E+003,3.78611640672126E+003
4.20000000000041E-005,3.02477556870055E+021,1.19894996858704E+022,1.19901413589983E+022,2.70044166135693E+022,3.82125232456573E+003,3.91786015997391E+003,3.87611426623430E+003,3.88850362179248E+003,3.77194256952742E+003,3.83243119015980E+003,0.00000000000000E+000,1.18584437720426E+001,7.98696955367517E+000,0.00000000000000E+000,3.52482289328246E+003,3.76958449317748E+003,0.00000000000000E+000,3.73871292358542E+003,3.83727475675479E+003,3.87611426623430E+003,3.84347980781715E+003
4.30000000000043E-005,2.96502249939806E+021,1.20492527551729E+022,1.20498944283008E+022,2.70641696828718E+022,3.61189868240858E+003,3.76165721962943E+003,3.66596609834499E+003,3.70264542062527E+003,3.77119057433283E+003,3.86014545545098E+003,0.00000000000000E+000,1.18574283833109E+001,8.01053084379393E+000,0.00000000000000E+000,3.60880552170150E+003,3.90700705000441E+003,0.00000000000000E+000,3.71714971173199E+003,3.84909091900756E+003,3.66596609834499E+003,3.75310262766901E+003
4.40000000000045E-005,2.94720980838300E+021,1.20670654461879E+022,1.20677071193159E+022,2.70819823738868E+022,3.77648204048532E+003,3.63633859856310E+003,3.76873644520217E+003,3.71058613832300E+003,3.76003597894644E+003,3.85875974218642E+003,0.00000000000000E+000,1.18423284337246E+001,8.00935912892665E+000,0.00000000000000E+000,3.56290079953276E+003,3.87106819964136E+003,0.00000000000000E+000,3.72965500285142E+003,3.81376567409921E+003,3.76873644520217E+003,3.78454730557267E+003
4.50000000000046E-005,2.90263292747892E+021,1.21116423270920E+022,1.21122840002200E+022,2.71265592547909E+022,3.57300496745849E+003,3.67029091990572E+003,3.81610010088057E+003,3.72498627536590E+003,3.72450420600216E+003,3.86311484101789E+003,0.00000000000000E+000,1.17937454538249E+001,8.01303942418560E+000,0.00000000000000E+000,3.73950581651323E+003,3.70463917717866E+003,0.00000000000000E+000,3.70149090140249E+003,3.78790640671953E+003,3.81610010088057E+003,3.79124842804499E+003
4.60000000000048E-005,2.86135653141175E+021,1.21529187231592E+022,1.21535603962871E+022,2.71678356508581E+022,3.49497215460834E+003,3.76561802660395E+003,3.61379220392884E+003,3.66919375958474E+003,3.64936735280958E+003,3.88264679941358E+003,0.00000000000000E+000,1.16885233092141E+001,8.02946463133284E+000,0.00000000000000E+000,3.49469199083568E+003,3.81496638538861E+003,0.00000000000000E+000,3.59694852370119E+003,3.84314938628591E+003,3.61379220392884E+003,3.71461596687145E+003
4.70000000000049E-005,2.83917287359897E+021,1.21751023809720E+022,1.21757440540999E+022,2.71900193086709E+022,3.79550871408047E+003,3.56217459352031E+003,3.69564103383718E+003,3.64630579978098E+003,3.64422871897990E+003,3.89775767263187E+003,0.00000000000000E+000,1.16812007711493E+001,8.04208249027071E+000,0.00000000000000E+000,3.72202310502225E+003,3.70363089495433E+003,0.00000000000000E+000,3.68309616652057E+003,3.78458859165913E+003,3.69564103383718E+003,3.73415989489946E+003
4.80000000000051E-005,2.78623476752742E+021,1.22280404870435E+022,1.22286821601715E+022,2.72429574147424E+022,3.92451287735416E+003,3.67733005293641E+003,3.69290895462791E+003,3.70960330444627E+003,3.62567950418006E+003,3.84727811799436E+003,0.00000000000000E+000,1.16546307977665E+001,7.99962499684995E+000,0.00000000000000E+000,3.38709054169440E+003,3.71176928158965E+003,0.00000000000000E+000,3.63591666145260E+003,3.78182131435897E+003,3.69290895462791E+003,3.72698858892493E+003
4.90000000000053E-005,2.77546257857551E+021,1.22388126759954E+022,1.22394543491234E+022,2.72537296036943E+022,3.51576896964854E+003,3.62166756184066E+003,3.65897040240403E+003,3.62763550959607E+003,3.59516103253303E+003,3.88832162516368E+003,0.00000000000000E+000,1.16104423839976E+001,8.03421232406380E+000,0.00000000000000E+000,3.48266015282015E+003,3.72867136101512E+003,0.00000000000000E+000,3.56247140354817E+003,3.79719339132459E+003,3.65897040240403E+003,3.71121484488677E+003
5.00000000000054E-005,2.73438136200051E+021,1.22798938925704E+022,1.22805355656984E+022,2.72948108202693E+022,3.72087460892917E+003,3.71978348246812E+003,3.71809866147744E+003,3.71913475299511E+003,3.56414123075628E+003,3.84734410434029E+003,0.00000000000000E+000,1.15649140406452E+001,7.99968107118435E+000,0.00000000000000E+000,3.65511426829948E+003,3.56738007443874E+003,0.00000000000000E+000,3.60644825517033E+003,3.76001540384313E+003,3.71809866147744E+003,3.72577185474066E+003
5.10000000000056E-005,2.72147041409021E+021,1.22928048404807E+022,1.22930175317197E+022,2.73072927862906E+022,3.41550295272477E+003,3.71830094013087E+003,3.72407854737998E+003,3.69072473391884E+003,3.54578001475509E+003,3.80795025581925E+003,0.00000000000000E+000,1.15376683115931E+001,7.96593246407819E+000,0.00000000000000E+000,3.62007221358302E+003,3.77319769280199E+003,0.00000000000000E+000,3.53620322343808E+003,3.78122768379788E+003,3.72407854737998E+003,3.73108129373929E+003
5.20000000000057E-005,2.70219800721447E+021,1.23120772473565E+022,1.23122899385954E+022,2.73265651931663E+022,3.51797045721405E+003,3.77199533676001E+003,3.68567811452782E+003,3.70798479691557E+003,3.50811758875948E+003,3.77970809976062E+003,0.00000000000000E+000,1.14810788327336E+001,7.94139733802670E+000,0.00000000000000E+000,3.61475188658209E+003,3.84174356573788E+003,0.00000000000000E+000,3.52810843155444E+003,3.79139761014316E+003,3.68567811452782E+003,3.71772905496063E+003
