001-TIME,002-TempTra-001
1.43920000000003E-003,8.47438247012893E+002
1.43960000000003E-003,8.47520804642846E+002
1.44000000000003E-003,8.47485680491830E+002
1.44040000000003E-003,8.47711190089203E+002
1.44080000000003E-003,8.47689098778093E+002
1.44120000000003E-003,8.47694887852679E+002
1.44160000000003E-003,8.47813033361256E+002
1.44200000000003E-003,8.47794099175784E+002
1.44240000000003E-003,8.47940068187492E+002
1.44280000000003E-003,8.48236703076435E+002
1.44320000000003E-003,8.48565962927765E+002
1.44360000000003E-003,8.48476723521900E+002
1.44400000000003E-003,8.48539918394282E+002
1.44440000000003E-003,8.48428915344780E+002
1.44480000000003E-003,8.48773062849555E+002
1.44520000000003E-003,8.48860651220443E+002
1.44560000000003E-003,8.48924434710998E+002
1.44600000000003E-003,8.48881397573967E+002
1.44640000000003E-003,8.48747871265438E+002
1.44680000000003E-003,8.48718297739093E+002
1.44720000000003E-003,8.48614189111249E+002
1.44760000000003E-003,8.48690840705352E+002
1.44800000000003E-003,8.48599013581522E+002
1.44840000000003E-003,8.48666294652403E+002
1.44880000000003E-003,8.48586086480579E+002
1.44920000000003E-003,8.48640971139531E+002
1.44960000000003E-003,8.48775303793139E+002
1.45000000000003E-003,8.48854708571683E+002
1.45040000000003E-003,8.49071081986411E+002
1.45080000000003E-003,8.49054853031105E+002
1.45120000000003E-003,8.49101489788895E+002
1.45160000000003E-003,8.49001249547112E+002
1.45200000000003E-003,8.48984070477702E+002
1.45240000000003E-003,8.49032214580015E+002
1.45280000000003E-003,8.48952859029846E+002
1.45320000000003E-003,8.49121053444649E+002
1.45360000000003E-003,8.49250405302384E+002
1.45400000000003E-003,8.49387837503181E+002
1.45440000000003E-003,8.49525725730481E+002
1.45480000000003E-003,8.49507805550450E+002
1.45520000000003E-003,8.49514060055573E+002
1.45560000000003E-003,8.49654394327292E+002
1.45600000000003E-003,8.49920385710821E+002
1.45640000000003E-003,8.50135887987314E+002
1.45680000000003E-003,8.50171943454112E+002
1.45720000000003E-003,8.50489093382614E+002
1.45760000000003E-003,8.50729413073147E+002
1.45800000000003E-003,8.50702683183903E+002
1.45840000000003E-003,8.50759005285037E+002
1.45880000000003E-003,8.51218123408991E+002
