001-TIME,002-E-El,003-E-Mag,004-E-phi,005-E-psi,006-E-pot
1.23814940351935E-009,8.92783930861620E+011,2.95890021795879E+011,0.00000000000000E+000,0.00000000000000E+000,1.18867395265750E+012
1.25005687369531E-009,8.85826356019597E+011,3.06005867421488E+011,0.00000000000000E+000,0.00000000000000E+000,1.19183222344108E+012
1.26196434387128E-009,8.77012107143207E+011,3.16314574395972E+011,0.00000000000000E+000,0.00000000000000E+000,1.19332668153918E+012
1.27387181404725E-009,8.66395265746077E+011,3.26779130589850E+011,0.00000000000000E+000,0.00000000000000E+000,1.19317439633593E+012
1.28577928422321E-009,8.54042014205958E+011,3.37360768391632E+011,0.00000000000000E+000,0.00000000000000E+000,1.19140278259759E+012
1.29768675439918E-009,8.40030345569563E+011,3.48019125448552E+011,0.00000000000000E+000,0.00000000000000E+000,1.18804947101812E+012
1.30959422457515E-009,8.24449685181176E+011,3.58712422072085E+011,0.00000000000000E+000,0.00000000000000E+000,1.18316210725326E+012
1.32150169475112E-009,8.07400425994076E+011,3.69397654776467E+011,0.00000000000000E+000,0.00000000000000E+000,1.17679808077054E+012
1.33340916492708E-009,7.88993380139201E+011,3.80030805261276E+011,0.00000000000000E+000,0.00000000000000E+000,1.16902418540048E+012
1.34531663510305E-009,7.69349150008161E+011,3.90567063984006E+011,0.00000000000000E+000,0.00000000000000E+000,1.15991621399217E+012
1.35722410527902E-009,7.48597422751210E+011,4.00961067297527E+011,0.00000000000000E+000,0.00000000000000E+000,1.14955849004874E+012
1.36913157545499E-009,7.26876192690219E+011,4.11167146952541E+011,0.00000000000000E+000,0.00000000000000E+000,1.13804333964276E+012
1.38103904563095E-009,7.04330916699176E+011,4.21139590589816E+011,0.00000000000000E+000,0.00000000000000E+000,1.12547050728899E+012
1.39294651580692E-009,6.81113608108443E+011,4.30832911674226E+011,0.00000000000000E+000,0.00000000000000E+000,1.11194651978267E+012
1.40485398598289E-009,6.57381875143849E+011,4.40202127156097E+011,0.00000000000000E+000,0.00000000000000E+000,1.09758400229995E+012
1.41676145615885E-009,6.33297910317954E+011,4.49203040988754E+011,0.00000000000000E+000,0.00000000000000E+000,1.08250095130671E+012
1.42866892633482E-009,6.09027437549854E+011,4.57792531488103E+011,0.00000000000000E+000,0.00000000000000E+000,1.06681996903796E+012
1.44057639651079E-009,5.84738624102910E+011,4.65928840394101E+011,0.00000000000000E+000,0.00000000000000E+000,1.05066746449701E+012
1.45248386668676E-009,5.60600964698102E+011,4.73571861388348E+011,0.00000000000000E+000,0.00000000000000E+000,1.03417282608645E+012
1.46439133686272E-009,5.36784145385390E+011,4.80683425739629E+011,0.00000000000000E+000,0.00000000000000E+000,1.01746757112502E+012
1.47629880703869E-009,5.13456894936932E+011,4.87227582692394E+011,0.00000000000000E+000,0.00000000000000E+000,1.00068447762933E+012
1.48820627721466E-009,4.90785831664350E+011,4.93170872183814E+011,0.00000000000000E+000,0.00000000000000E+000,9.83956703848164E+011
1.50011374739063E-009,4.68934313656748E+011,4.98482587474283E+011,0.00000000000000E+000,0.00000000000000E+000,9.67416901131031E+011
1.51202121756659E-009,4.48061300485820E+011,5.03135025304634E+011,0.00000000000000E+000,0.00000000000000E+000,9.51196325790454E+011
1.52392868774256E-009,4.28320234427505E+011,5.07103721250790E+011,0.00000000000000E+000,0.00000000000000E+000,9.35423955678295E+011
1.53583615791853E-009,4.09857949204494E+011,5.10367668032145E+011,0.00000000000000E+000,0.00000000000000E+000,9.20225617236639E+011
1.54774362809450E-009,3.92813614158416E+011,5.12909514642436E+011,0.00000000000000E+000,0.00000000000000E+000,9.05723128800851E+011
1.55965109827046E-009,3.77317721612874E+011,5.14715744309065E+011,0.00000000000000E+000,0.00000000000000E+000,8.92033465921939E+011
1.57155856844643E-009,3.63491124986982E+011,5.15776829446505E+011,0.00000000000000E+000,0.00000000000000E+000,8.79267954433487E+011
