001-TIME,002-nPart-Spec-001,003-TempTra-001,004-TempVib001,005-XiVibMean001,006-TempRot001,007-TempTotal001
4.90000000000000E-007,1.99790000000000E+004,7.83135793609230E+003,7.77460036145500E+003,1.59518943505650E+000,7.92049779984530E+003,7.84466166981354E+003
5.00000000000000E-007,1.99790000000000E+004,7.86110578391499E+003,7.76545468397287E+003,1.59474975629895E+000,7.88398793751249E+003,7.84491483428488E+003
5.10000000000000E-007,1.99790000000000E+004,7.85010814426997E+003,7.79099270562313E+003,1.59597512947875E+000,7.87628710795301E+003,7.84374231637367E+003
5.20000000000000E-007,1.99790000000000E+004,7.84849545628680E+003,7.79789441969426E+003,1.59630502658858E+000,7.87220229692124E+003,7.84343792670624E+003
5.30000000000000E-007,1.99790000000000E+004,7.83894707137896E+003,7.82101376455622E+003,1.59740622494461E+000,7.86366411871464E+003,7.84209790338932E+003
5.40000000000000E-007,1.99790000000000E+004,7.85193416440087E+003,7.83084746369278E+003,1.59787280637774E+000,7.83368304285250E+003,7.84129496131309E+003
5.50000000000000E-007,1.99790000000000E+004,7.86452097108990E+003,7.82843220491486E+003,1.59775830873007E+000,7.81826225204784E+003,7.84175891205943E+003
5.60000000000000E-007,1.99790000000000E+004,7.83566250890310E+003,7.84395846353730E+003,1.59849321722043E+000,7.84575071280211E+003,7.84072994383262E+003
5.70000000000000E-007,1.99790000000000E+004,7.81239213844478E+003,7.84361344597041E+003,1.59847691540975E+000,7.88152003654915E+003,7.84090816388058E+003
5.80000000000000E-007,1.99790000000000E+004,7.82394287366547E+003,7.83826561329625E+003,1.59822406614157E+000,7.86882545192619E+003,7.84101657449211E+003
5.90000000000000E-007,1.99790000000000E+004,7.81316018858587E+003,7.84171584091498E+003,1.59838723152936E+000,7.88209992448566E+003,7.84097341861176E+003
6.00000000000000E-007,1.99790000000000E+004,7.84524526259801E+003,7.82049619074427E+003,1.59738163770880E+000,7.85477557860154E+003,7.84214204952854E+003
6.10000000000000E-007,1.99790000000000E+004,7.83595861873430E+003,7.80652129209805E+003,1.59671663294282E+000,7.88236414265314E+003,7.84290267610664E+003
6.20000000000000E-007,1.99790000000000E+004,7.81962170435415E+003,7.82360161755152E+003,1.59752911560650E+000,7.88929910534407E+003,7.84170767421301E+003
6.30000000000000E-007,1.99790000000000E+004,7.80451590444572E+003,7.82325657203180E+003,1.59751273456659E+000,7.91259723320832E+003,7.84181800942823E+003
6.40000000000000E-007,1.99790000000000E+004,7.84676906353836E+003,7.81066208449234E+003,1.59691390277704E+000,7.86055721413671E+003,7.84220883491138E+003
6.50000000000000E-007,1.99790000000000E+004,7.84749613380993E+003,7.81255992466066E+003,1.59700425293599E+000,7.85792048419438E+003,7.84219909708172E+003
6.60000000000000E-007,1.99790000000000E+004,7.83709384252773E+003,7.81445775037896E+003,1.59709456216283E+000,7.87149752373367E+003,7.84204380685290E+003
6.70000000000000E-007,1.99790000000000E+004,7.81596009434801E+003,7.80445087005179E+003,1.59661792481506E+000,7.91431617935599E+003,7.84299460479510E+003
6.80000000000000E-007,1.99790000000000E+004,7.82518950237113E+003,7.81100714741641E+003,1.59693033312447E+000,7.89417671796882E+003,7.84267129959339E+003
6.90000000000000E-007,1.99790000000000E+004,7.87168418221705E+003,7.81394016297913E+003,1.59706993643147E+000,7.82138538654153E+003,7.84245623248442E+003
7.00000000000000E-007,1.99790000000000E+004,7.86462583815743E+003,7.81739072536441E+003,1.59723405052220E+000,7.82801501064809E+003,7.84209106306632E+003
7.10000000000001E-007,1.99790000000000E+004,7.86086377038406E+003,7.80634875758608E+003,1.59670840913064E+000,7.84525259625134E+003,7.84293559768203E+003
7.20000000000001E-007,1.99790000000000E+004,7.87533770854112E+003,7.80721142894890E+003,1.59674952480153E+000,7.82234528415281E+003,7.84278145450501E+003
7.30000000000001E-007,1.99790000000000E+004,7.85073093792329E+003,7.82894976232479E+003,1.59778284948801E+000,7.83765776345339E+003,7.84149329868248E+003
7.40000000000001E-007,1.99790000000000E+004,7.87764187671052E+003,7.81618303395625E+003,1.59717662596401E+000,7.80978868884398E+003,7.84219231758873E+003
7.50000000000001E-007,1.99790000000000E+004,7.86484461517942E+003,7.82998487394107E+003,1.59783192192485E+000,7.81534741482874E+003,7.84139836649158E+003
7.60000000000001E-007,1.99790000000000E+004,7.84034913935400E+003,7.83619545402920E+003,1.59812610257045E+000,7.84638868763585E+003,7.84117376494310E+003
7.70000000000001E-007,1.99790000000000E+004,7.83158823084570E+003,7.84033575553839E+003,1.59832198145085E+000,7.85510857292819E+003,7.84083634655393E+003
7.80000000000001E-007,1.99790000000000E+004,7.83182359981560E+003,7.86655608946540E+003,1.59955807991700E+000,7.82862619343802E+003,7.83927285946367E+003
7.90000000000001E-007,1.99790000000000E+004,7.86051665090628E+003,7.85862127475893E+003,1.59918480962094E+000,7.79323788715484E+003,7.83966732053965E+003
8.00000000000001E-007,1.99790000000000E+004,7.85049820222035E+003,7.86293370479708E+003,1.59938776111786E+000,7.80475687137935E+003,7.83964970026094E+003
8.10000000000001E-007,1.99790000000000E+004,7.84364066028578E+003,7.86931596697730E+003,1.59968774841254E+000,7.80934527276999E+003,7.83947102339848E+003
8.20000000000001E-007,1.99790000000000E+004,7.83403438329326E+003,7.87845784782696E+003,1.60011666976185E+000,7.81426571613894E+003,7.83881390362581E+003
8.30000000000001E-007,1.99790000000000E+004,7.82007530017029E+003,7.88345987057866E+003,1.60035096961267E+000,7.83072613844946E+003,7.83867116512276E+003
8.40000000000001E-007,1.99790000000000E+004,7.82786058127744E+003,7.87707796226328E+003,1.60005198645192E+000,7.82469682652247E+003,7.83883365525520E+003
