"001-time","002-E-El","003-HDG-#iterations","004-HDG-RunTime","005-HDG-RunTimePerIteration","006-HDG-Norm"
0.2660000000000002E+001,0.6873175225275288E-002,0.1310000000000000E+003,0.7243905999999800E-002,0.5529699236641069E-004,0.9988758897905275E-012
0.2680000000000002E+001,0.6784397333448175E-002,0.1320000000000000E+003,0.7451858999999894E-002,0.5645347727272647E-004,0.6896741758475688E-012
0.2700000000000002E+001,0.6685983873508342E-002,0.1320000000000000E+003,0.7310673999999739E-002,0.5538389393939197E-004,0.6859139195983800E-012
0.2720000000000002E+001,0.6578314473972455E-002,0.1320000000000000E+003,0.7289343999999920E-002,0.5522230303030242E-004,0.7244731429709511E-012
0.2740000000000002E+001,0.6461793081188400E-002,0.1320000000000000E+003,0.7376394000000008E-002,0.5588177272727279E-004,0.7138760382282811E-012
0.2760000000000002E+001,0.6336846323647772E-002,0.1320000000000000E+003,0.7224408999999987E-002,0.5473037121212111E-004,0.7300086587902107E-012
0.2780000000000002E+001,0.6203921829818670E-002,0.1320000000000000E+003,0.7317491999999870E-002,0.5543554545454447E-004,0.7107390092518096E-012
0.2800000000000002E+001,0.6063486505210944E-002,0.1320000000000000E+003,0.7270249999999923E-002,0.5507765151515093E-004,0.7196959329445492E-012
0.2820000000000002E+001,0.5916024774479813E-002,0.1320000000000000E+003,0.7204535999999928E-002,0.5457981818181764E-004,0.6981879939573124E-012
0.2840000000000002E+001,0.5762036794385484E-002,0.1320000000000000E+003,0.7378910999999988E-002,0.5590084090909082E-004,0.7065380888291492E-012
0.2860000000000002E+001,0.5602036643455143E-002,0.1320000000000000E+003,0.7313635000000041E-002,0.5540632575757606E-004,0.6839445859358894E-012
0.2880000000000002E+001,0.5436550494199921E-002,0.1320000000000000E+003,0.7185471999999971E-002,0.5443539393939372E-004,0.6911408184770868E-012
0.2900000000000002E+001,0.5266114773720561E-002,0.1320000000000000E+003,0.7365827999999963E-002,0.5580172727272700E-004,0.6711369885255698E-012
0.2920000000000002E+001,0.5091274318498272E-002,0.1320000000000000E+003,0.7314510000000052E-002,0.5541295454545494E-004,0.6790824317181774E-012
0.2940000000000002E+001,0.4912580529122644E-002,0.1320000000000000E+003,0.7371653999999950E-002,0.5584586363636326E-004,0.6607267755969303E-012
0.2960000000000002E+001,0.4730589530642705E-002,0.1320000000000000E+003,0.7284866000000001E-002,0.5518837878787880E-004,0.6695280623492449E-012
0.2980000000000002E+001,0.4545860344129307E-002,0.1320000000000000E+003,0.7334070999999831E-002,0.5556114393939266E-004,0.6555821705684834E-012
0.3000000000000002E+001,0.4358953074955754E-002,0.1320000000000000E+003,0.7315429000000151E-002,0.5541991666666781E-004,0.6660407213193649E-012
0.3020000000000002E+001,0.4170427123167641E-002,0.1320000000000000E+003,0.7350904000000158E-002,0.5568866666666786E-004,0.6552408360838112E-012
0.3040000000000002E+001,0.3980839421197644E-002,0.1320000000000000E+003,0.7310782999999876E-002,0.5538471969696876E-004,0.6662874428185053E-012
0.3060000000000002E+001,0.3790742704020938E-002,0.1320000000000000E+003,0.7254998000000068E-002,0.5496210606060657E-004,0.6582293483466395E-012
0.3080000000000002E+001,0.3600683816694367E-002,0.1320000000000000E+003,0.7300097999999977E-002,0.5530377272727255E-004,0.6706087026309706E-012
0.3100000000000002E+001,0.3411202064044751E-002,0.1320000000000000E+003,0.7407275000000046E-002,0.5611571969697005E-004,0.6635554323028607E-012
0.3120000000000002E+001,0.3222827607084368E-002,0.1320000000000000E+003,0.7325923000000234E-002,0.5549941666666844E-004,0.6742514835683343E-012
0.3140000000000002E+001,0.3036079910533247E-002,0.1320000000000000E+003,0.7266834999999805E-002,0.5505178030302883E-004,0.6645587332729400E-012
0.3160000000000002E+001,0.2851466245612478E-002,0.1320000000000000E+003,0.7239677000000055E-002,0.5484603787878830E-004,0.6640717056939443E-012
0.3180000000000002E+001,0.2669480252059498E-002,0.1320000000000000E+003,0.7355143999999925E-002,0.5572078787878731E-004,0.6292319833340196E-012
0.3200000000000002E+001,0.2490600563072624E-002,0.1310000000000000E+003,0.7303561000000069E-002,0.5575237404580206E-004,0.8792212268271916E-012
0.3220000000000002E+001,0.2315289496662692E-002,0.1290000000000000E+003,0.7096042999999996E-002,0.5500808527131780E-004,0.8401540857885964E-012
0.3240000000000002E+001,0.2143991816632349E-002,0.1290000000000000E+003,0.7169397999999827E-002,0.5557672868216920E-004,0.8162683106489099E-012
0.3260000000000002E+001,0.1977133566149916E-002,0.1290000000000000E+003,0.7109036999999985E-002,0.5510881395348826E-004,0.7862198020690160E-012
0.3280000000000002E+001,0.1815120976620422E-002,0.1290000000000000E+003,0.7192064999999914E-002,0.5575244186046445E-004,0.6809431068526491E-012
0.3300000000000002E+001,0.1658339454291295E-002,0.1310000000000000E+003,0.7177533999999985E-002,0.5479033587786249E-004,0.9264927356674244E-012
0.3320000000000003E+001,0.1507152646748168E-002,0.1280000000000000E+003,0.7167694000000058E-002,0.5599760937500045E-004,0.7063394216730131E-012
0.3340000000000003E+001,0.1361901591189157E-002,0.1320000000000000E+003,0.7301278000000133E-002,0.5531271212121313E-004,0.7132830448617791E-012
0.3360000000000003E+001,0.1222903946076863E-002,0.1320000000000000E+003,0.7414180000000048E-002,0.5616803030303067E-004,0.7696488504464316E-012
0.3380000000000003E+001,0.1090453307489326E-002,0.1320000000000000E+003,0.7258028000000083E-002,0.5498506060606124E-004,0.8041788697635157E-012
0.3400000000000003E+001,0.9648186112084315E-003,0.1320000000000000E+003,0.7307307999999901E-002,0.5535839393939319E-004,0.8335206002413622E-012
0.3420000000000003E+001,0.8462436212965187E-003,0.1320000000000000E+003,0.8219183999999879E-002,0.6226654545454454E-004,0.8587479232672525E-012
0.3440000000000003E+001,0.7349465056341183E-003,0.1320000000000000E+003,0.7477236999999803E-002,0.5664573484848336E-004,0.8830878933153672E-012
0.3460000000000003E+001,0.6311194986069695E-003,0.1320000000000000E+003,0.7351563999999922E-002,0.5569366666666608E-004,0.9056913345711990E-012
0.3480000000000003E+001,0.5349286508539134E-003,0.1320000000000000E+003,0.7398347000000083E-002,0.5604808333333396E-004,0.9285727552427322E-012
0.3500000000000003E+001,0.4465136657116906E-003,0.1320000000000000E+003,0.7336443000000026E-002,0.5557911363636383E-004,0.9500302372487892E-012
0.3520000000000003E+001,0.3659878217219533E-003,0.1320000000000000E+003,0.7385506999999958E-002,0.5595081060606029E-004,0.9723681974337024E-012
0.3540000000000003E+001,0.2934379803002009E-003,0.1320000000000000E+003,0.7332031000000017E-002,0.5554568939393952E-004,0.9937771697131773E-012
0.3560000000000003E+001,0.2289246774073850E-003,0.1330000000000000E+003,0.7400091999999914E-002,0.5563978947368356E-004,0.7357717584315832E-012
0.3580000000000003E+001,0.1724822978112871E-003,0.1330000000000000E+003,0.7391045999999957E-002,0.5557177443608990E-004,0.7602899556542009E-012
0.3600000000000003E+001,0.1241193302802728E-003,0.1330000000000000E+003,0.7383545000000158E-002,0.5551537593985081E-004,0.7886486936502910E-012
0.3620000000000003E+001,0.8381870181458402E-004,0.1330000000000000E+003,0.7339673000000158E-002,0.5518551127819667E-004,0.8158651288403732E-012
0.3640000000000003E+001,0.5153818879257800E-004,0.1330000000000000E+003,0.7365853000000033E-002,0.5538235338345889E-004,0.8427151852870976E-012
0.3660000000000003E+001,0.2721090269039632E-004,0.1330000000000000E+003,0.7283330000000143E-002,0.5476187969924920E-004,0.8689657121151196E-012
0.3680000000000003E+001,0.1074584782579123E-004,0.1330000000000000E+003,0.7398244999999859E-002,0.5562590225563804E-004,0.8950486111780765E-012
0.3700000000000003E+001,0.2028548378717001E-005,0.1330000000000000E+003,0.7342755999999895E-002,0.5520869172932251E-004,0.9207557954362513E-012
0.3720000000000003E+001,0.9217417555253175E-006,0.1330000000000000E+003,0.7419236000000051E-002,0.5578372932330865E-004,0.9461341095871415E-012
0.3740000000000003E+001,0.7266135188758630E-005,0.1330000000000000E+003,0.7339676000000184E-002,0.5518553383458785E-004,0.9711423756537449E-012
0.3760000000000003E+001,0.2088122230246653E-004,0.1330000000000000E+003,0.7307570000000041E-002,0.5494413533834617E-004,0.9957386610652445E-012
0.3780000000000003E+001,0.4156615622310863E-004,0.1340000000000000E+003,0.7470222000000026E-002,0.5574792537313452E-004,0.8687191819578146E-012
