001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-TempTra-001,007-TempTra-002,008-TempTra-003,009-TempTra-004,010-TempVib001,011-TempVib002,012-TempVib003,013-XiVibMean001,014-XiVibMean002,015-XiVibMean003,016-TempRot001,017-TempRot002,018-TempRot003,019-TempTotal001,020-TempTotal002,021-TempTotal003,022-TempTotal004
4.81000000000051E-05,508,2488,2488,5484,3637.95231440824,3679.49904324657,3715.51303199012,3691.98939075643,3652.68866491901,3660.80070439227,0,11.6932474325712,7.83486411880757,0,3717.30545585828,3748.88826342067,0,3661.14620341531,3683.95652948004,3715.51303199012,3696.16020063325
4.82000000000051E-05,508,2488,2488,5484,3716.44267525341,3676.22417476735,3725.40206908067,3702.26093612739,3645.48204430421,3665.41974860747,0,11.682988272431,7.83910284255445,0,3852.89168836851,3689.80456997561,0,3692.70883720677,3673.04797016092,3725.40206908067,3698.62140534904
4.83000000000051E-05,508,2488,2488,5484,3831.39780746332,3632.47289893061,3794.55563661308,3724.43418720352,3658.51662767707,3663.57213092139,0,11.7015204021347,7.83740834934653,0,3714.55730107349,3658.41209049291,0,3697.31360917619,3655.71098998289,3794.55563661308,3722.5562874603
4.84000000000052E-05,507,2489,2489,5485,3619.36641384581,3727.72264073342,3706.84966340843,3708.23504773544,3638.58875502049,3676.17552299428,0,11.673144881362,7.84894091969577,0,3586.20287777382,3682.69674616478,0,3626.43332616467,3688.75446485988,3706.84966340843,3691.20517258438
4.85000000000052E-05,506,2490,2490,5486,3546.32818473899,3688.61476479782,3752.75168866588,3704.60162788964,3643.66472258396,3673.20613742737,0,11.6803960760159,7.84622936212129,0,3521.5678567273,3698.90325318023,0,3606.43138186724,3682.11233319698,3752.75168866588,3707.19389239215
4.86000000000052E-05,505,2491,2491,5487,3735.19398098727,3774.75089074537,3699.86268797049,3737.11233551664,3644.54205031098,3671.62246512502,0,11.6816477382795,7.8447818039193,0,3595.46950779302,3604.15963555274,0,3651.59671887588,3679.35077674882,3699.86268797049,3686.10845337126
4.87000000000052E-05,504,2492,2492,5488,3677.87487842996,3735.78007088174,3662.86553947771,3697.35309762107,3632.19679586649,3678.68300413968,0,11.6639908026675,7.85122802788247,0,3679.35878596609,3648.46878874074,0,3647.9644794608,3684.50548817265,3662.86553947771,3671.3233780162
4.88000000000052E-05,504,2492,2492,5488,3785.74249882649,3650.23958176589,3738.30470992349,3702.67248438383,3620.03954022065,3676.30749568615,0,11.6465091660308,7.84906135430298,0,3720.61112363194,3651.9404445903,0,3665.30762234021,3665.38221409648,3738.30470992349,3698.48812979541
4.89000000000052E-05,504,2492,2492,5488,3708.53260448473,3653.01227766993,3781.05114768778,3716.25118233449,3632.19679586649,3683.30204835487,0,11.6639908026675,7.85543477915046,0,3640.58643288495,3600.65359965263,0,3646.58631518574,3658.84849178576,3781.05114768778,3713.2123550331
4.90000000000053E-05,504,2492,2492,5488,3673.01242526078,3778.4207082237,3579.96176123375,3678.62379304289,3646.54737082988,3682.24626681997,0,11.6845068788662,7.85447396000727,0,3750.04230386109,3648.09720335906,0,3668.59378496271,3695.67702820186,3579.96176123375,3640.64561423009
4.91000000000053E-05,504,2492,2492,5488,3775.23605155279,3748.77929770018,3631.53737075819,3697.9715939834,3648.74069014743,3680.72858086355,0,11.6876311966497,7.85309203114091,0,3771.92983315722,3599.93213403772,0,3691.08969126112,3677.96838914017,3631.53737075819,3658.08993404926
4.92000000000053E-05,502,2494,2494,5490,3836.75462077686,3692.11266626388,3708.21544891881,3712.65375936168,3638.21275742319,3674.78980972972,0,11.672607114987,7.84767595020127,0,3930.29086371777,3548.53383536485,0,3721.49757778773,3651.19022849549,3708.21544891881,3683.52450701652
4.93000000000053E-05,502,2494,2494,5490,3667.95397120156,3732.96527550833,3655.22343250264,3691.70410406604,3655.88464449601,3679.1449085612,0,11.6977868264573,7.85164907278301,0,3855.85690735391,3573.75163844716,0,3691.82839130052,3667.97521254249,3655.22343250264,3664.36343773687
4.94000000000053E-05,502,2494,2494,5490,3658.06736379999,3700.08165224725,3740.15672011403,3714.44523083727,3643.8527213826,3683.89592546826,0,11.680664329773,7.85597505157304,0,3999.14600958437,3487.14470498848,0,3706.54967502539,3644.80113213281,3740.15672011403,3693.76554105034
4.95000000000053E-05,502,2494,2494,5490,3571.39784416842,3691.08891936494,3711.8384049989,3689.57057645464,3637.52342849482,3686.33742026772,0,11.6716209800956,7.85819474797279,0,3993.37505471512,3541.9735848903,0,3686.7083972456,3656.11436333587,3711.8384049989,3684.22619665651
4.96000000000054E-05,501,2495,2495,5491,3533.95142748686,3720.42047344473,3636.37288239554,3665.21746275585,3654.56865290548,3678.88096317747,0,11.6959184308207,7.85140848576779,0,3834.75238374887,3624.62438303245,0,3664.6669994238,3676.1266433065,3636.37288239554,3657.0177532941
4.97000000000054E-05,500,2496,2496,5492,3484.92687348392,3670.27768829558,3724.37190383518,3677.98776742541,3634.26478265161,3683.17007566301,0,11.666955220827,7.85531470019952,0,3655.29139594205,3628.34540174261,0,3612.47642790568,3668.50774656697,3724.37190383518,3688.79567031257
4.98000000000054E-05,500,2496,2496,5492,3477.62523275519,3723.73389126964,3766.21586227012,3720.63496016257,3642.47406352586,3672.34831493026,0,11.6786966234112,7.84544538857744,0,3512.78608100404,3591.1036439112,0,3592.49241280239,3665.87851338,3766.21586227012,3704.79857393007
4.99000000000054E-05,500,2496,2496,5492,3789.48229417695,3687.61040099768,3742.86130329486,3721.99536070697,3642.47406352586,3668.19117513659,0,11.6786966234112,7.84164209534021,0,3518.38749789083,3604.92453876006,0,3646.36377307363,3658.68780619812,3742.86130329486,3695.82091475442
5.00000000000054E-05,500,2496,2496,5492,3644.28074020154,3641.68593483197,3737.99548819353,3685.69286270437,3654.44332037305,3668.65307955811,0,11.6957404324292,7.84206501428121,0,3544.3645039558,3665.37022880405,0,3634.05851697114,3662.09697782423,3737.99548819353,3694.03861137398
5.01000000000054E-05,500,2496,2496,5492,3730.7025362059,3732.13090341869,3652.23425781375,3695.68949572817,3671.30054598506,3664.03403534291,0,11.7195941383832,7.83783209710384,0,3649.52098027329,3618.62531791099,0,3677.6701768381,3668.9527575426,3652.23425781375,3662.14819350847
5.02000000000054E-05,499,2497,2497,5493,3819.55864609739,3717.67280707455,3646.97115302194,3694.78895553678,3654.19265530819,3669.9068201308,0,11.6953844064447,7.84321252003647,0,3602.26387400773,3614.62949016816,0,3673.42431598589,3668.27901668387,3646.97115302194,3659.06033268385
5.03000000000055E-05,499,2497,2497,5493,3704.276694688,3684.74417786969,3580.22039556402,3639.00429829115,3656.00997702844,3672.67824665992,0,11.6979647129673,7.8457469505577,0,3774.38518902852,3693.50311390429,0,3684.25762002507,3679.8047957522,3580.22039556402,3634.94037049137
5.04000000000055E-05,499,2497,2497,5493,3731.51572745178,3684.23086560838,3591.12941180749,3646.20443486362,3638.96475261778,3678.88096317747,0,11.6736825592574,7.85140848576779,0,3592.92299800181,3707.44971883962,0,3646.85940955678,3686.2272178478,3591.12941180749,3639.42150912399
5.05000000000055E-05,498,2498,2498,5494,3701.15558563443,3606.5439836113,3676.7970270945,3647.06249115199,3642.28606472721,3681.91633509031,0,11.6784282078982,7.85417361609555,0,3518.26834094597,3693.64539347658,0,3631.23052255323,3668.13493718316,3676.7970270945,3668.72822114982
5.06000000000055E-05,498,2498,2498,5494,3844.73149660873,3606.31300692049,3630.27937890385,3638.82127140524,3626.68216443951,3684.35782988978,0,11.6560725401591,7.85639516974281,0,3529.23615069129,3720.21662416663,0,3647.17426167348,3675.22427931425,3630.27937890385,3652.24625419407
5.07000000000055E-05,498,2498,2498,5494,3825.70891329429,3684.08522104264,3558.76517638069,3639.94236104551,3621.60619687604,3668.32314782845,0,11.6487671921981,7.84176293776905,0,3760.78556291729,3734.69099150836,0,3679.95850195001,3686.12360805812,3558.76517638069,3627.65772069517
5.08000000000055E-05,497,2499,2499,5495,3786.25068883944,3655.90596226126,3630.65357078346,3656.21089452811,3625.99283551114,3656.70955094453,0,11.6550814103856,7.83110287767392,0,3770.04759439746,3724.25943841837,0,3677.70247170159,3671.18698619627,3630.65357078346,3653.34261698417
5.09000000000056E-05,497,2499,2499,5495,3666.4816410574,3717.80572765328,3647.47526650888,3681.17899545346,3639.40341648129,3650.7707798107,0,11.674309738335,7.82563137169235,0,3828.38453457721,3663.16944529811,0,3676.07687290546,3668.00694310649,3647.47526650888,3659.39949911972
5.10000000000056E-05,496,2500,2500,5496,3573.34273325271,3705.95130357594,3706.86931275606,3694.40129849405,3644.60471657719,3647.4054761682,0,11.6817371243594,7.8225247165358,0,3730.42485416086,3649.92958139537,0,3647.0747489315,3660.65991424387,3706.86931275606,3680.45344668301
