001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,022-TempTotal004,DISS
6.27999999999995E-06,3924,16054,16054,7235.05328808197,6.24956888002434E-18
6.37999999999995E-06,3905,16073,16073,7237.13971922338,5.12131150894075E-18
6.47999999999995E-06,3879,16099,16099,7209.55167500379,5.12298266598023E-18
6.57999999999995E-06,3857,16121,16121,7210.61551071718,4.34220104249877E-18
6.67999999999995E-06,3837,16141,16141,7183.33822010472,5.2811841648703E-18
6.77999999999995E-06,3815,16163,16163,7167.29069263275,6.25241914480056E-18
6.87999999999995E-06,3793,16185,16185,7154.33446177047,6.42906568538422E-18
6.97999999999994E-06,3773,16205,16205,7140.25051675326,4.44091139497502E-18
7.07999999999994E-06,3747,16231,16231,7141.22537100757,4.24487441377762E-18
7.17999999999994E-06,3729,16249,16249,7131.67854926261,5.00672087422084E-18
7.27999999999994E-06,3712,16266,16266,7124.32718080293,3.57110947142515E-18
7.37999999999994E-06,3681,16297,16297,7093.12556354761,5.38301400387895E-18
7.47999999999994E-06,3664,16314,16314,7095.87644570639,4.03690794867482E-18
7.57999999999994E-06,3641,16337,16337,7079.49557219385,5.66686887073073E-18
7.67999999999994E-06,3627,16351,16351,7077.01364213861,5.16766801746646E-18
7.77999999999994E-06,3601,16377,16377,7069.98056179268,3.58608870789289E-18
7.87999999999994E-06,3589,16389,16389,7051.20968996752,4.14909413826424E-18
7.97999999999993E-06,3569,16409,16409,7053.07853279726,3.09548413753333E-18
8.07999999999993E-06,3545,16433,16433,7036.17081107984,2.49165021614495E-18
8.17999999999993E-06,3529,16449,16449,7015.32956624189,3.50568519801211E-18
8.27999999999993E-06,3515,16463,16463,6991.78522602732,3.75915797846549E-18
8.37999999999993E-06,3495,16483,16483,7026.72163673536,3.74234726400412E-18
8.47999999999993E-06,3481,16497,16497,7000.16713526562,4.3009365568637E-18
8.57999999999993E-06,3461,16517,16517,6999.27133101606,5.14515427785641E-18
8.67999999999993E-06,3440,16538,16538,6969.26790463868,5.41492291242958E-18
8.77999999999993E-06,3425,16553,16553,6957.11561354075,2.20681320084519E-18
8.87999999999993E-06,3414,16564,16564,6967.2079625143,6.40778518830981E-18
8.97999999999992E-06,3398,16580,16580,6955.41125632958,2.82302591997147E-18
9.07999999999993E-06,3380,16598,16598,6936.77718391115,2.43651728232745E-18
9.17999999999992E-06,3373,16605,16605,6939.55101635285,3.3226630293771E-18
9.27999999999992E-06,3363,16615,16615,6917.54280047402,3.84969990178702E-18
9.37999999999992E-06,3344,16634,16634,6926.53105444647,5.40714553626992E-18
9.47999999999992E-06,3324,16654,16654,6922.1207297367,3.11865944949319E-18
9.57999999999992E-06,3312,16666,16666,6925.35002118453,3.17061949516216E-18
9.67999999999992E-06,3293,16685,16685,6896.37084971515,3.55325070307796E-18
9.77999999999992E-06,3278,16700,16700,6871.9625127563,4.12116070760521E-18
9.87999999999992E-06,3267,16711,16711,6884.16497134952,3.58587386042011E-18
9.97999999999992E-06,3252,16726,16726,6869.08396476351,2.80524071787929E-18
1.00799999999999E-05,3238,16740,16740,6863.9219845689,3.55456996848321E-18
1.01799999999999E-05,3232,16746,16746,6858.64421378873,3.38953414305607E-18
1.02799999999999E-05,3216,16762,16762,6873.50560876639,3.79092928288282E-18
1.03799999999999E-05,3203,16775,16775,6852.68581888564,3.8475663291256E-18
1.04799999999999E-05,3186,16792,16792,6840.81802957689,2.7469648017927E-18
1.05799999999999E-05,3168,16810,16810,6829.51071439934,3.79522361790248E-18
1.06799999999999E-05,3148,16830,16830,6816.28556112947,3.20814658164346E-18
1.07799999999999E-05,3142,16836,16836,6822.66816838345,3.62952989324638E-18
1.08799999999999E-05,3130,16848,16848,6824.6641534968,5.52577859858861E-18
1.09799999999999E-05,3112,16866,16866,6806.56438002424,3.41823885981728E-18
1.10799999999999E-05,3101,16877,16877,6813.75095700549,4.09308628826672E-18
1.11799999999999E-05,3084,16894,16894,6792.27180047158,1.7412427842533E-18
1.12799999999999E-05,3073,16905,16905,6780.13142285841,2.83815615971351E-18
1.13799999999999E-05,3064,16914,16914,6785.99822418883,3.38921618469803E-18
1.14799999999999E-05,3050,16928,16928,6780.23691087818,5.01506110213059E-18
1.15799999999999E-05,3041,16937,16937,6761.97542461417,2.2431816698019E-18
1.16799999999999E-05,3026,16952,16952,6755.33741414488,2.62124615278666E-18
1.17799999999999E-05,3010,16968,16968,6742.5887950977,3.12064648845021E-18
1.18799999999999E-05,2998,16980,16980,6734.86994177502,4.79588306312898E-18
1.19799999999999E-05,2988,16990,16990,6745.60277606429,3.01067693702073E-18
1.20799999999999E-05,2975,17003,17003,6724.02671018693,3.04401849480106E-18
1.21799999999999E-05,2961,17017,17017,6717.39121366633,3.70751297236072E-18
1.22799999999999E-05,2948,17030,17030,6710.95492748709,2.15690749370589E-18
1.23799999999999E-05,2940,17038,17038,6710.42722254075,3.43269969789374E-18
1.24799999999999E-05,2929,17049,17049,6690.78052942519,2.83213426441256E-18
1.25799999999999E-05,2919,17059,17059,6700.15440139677,3.64858822329849E-18
1.26799999999999E-05,2902,17076,17076,6697.2720539178,2.77571338293842E-18
1.27799999999999E-05,2895,17083,17083,6686.53644119725,3.74693808153581E-18
1.28799999999999E-05,2883,17095,17095,6674.60290876933,3.58527829232605E-18
1.29799999999999E-05,2873,17105,17105,6670.54620242608,2.02897399325036E-18
1.30799999999999E-05,2870,17108,17108,6667.03179810951,3.28122346922073E-18
1.31799999999999E-05,2859,17119,17119,6655.28908877539,2.90507146543413E-18
1.32799999999999E-05,2851,17127,17127,6644.45969146328,2.4784001488513E-18
1.33799999999999E-05,2842,17136,17136,6646.42253550372,2.69779868119272E-18
1.34799999999999E-05,2836,17142,17142,6645.85222480902,1.8908805252378E-18
1.35799999999999E-05,2832,17146,17146,6655.69491341364,2.40427453251761E-18
1.36799999999999E-05,2820,17158,17158,6630.77655303366,2.96755840899661E-18
1.37799999999999E-05,2807,17171,17171,6622.81864310489,1.48512735087752E-18
1.38799999999999E-05,2801,17177,17177,6642.6308105999,2.3545818018851E-18
1.39799999999999E-05,2793,17185,17185,6639.67990008209,2.29418986037054E-18
1.40799999999999E-05,2788,17190,17190,6626.69202506547,2.36425333507258E-18
1.41799999999999E-05,2780,17198,17198,6622.50666670246,2.83535355492783E-18
1.42799999999999E-05,2776,17202,17202,6624.53554797284,1.73058029219419E-18
1.43799999999999E-05,2771,17207,17207,6611.92251197619,2.09678404800463E-18
1.44799999999999E-05,2759,17219,17219,6610.57396661525,1.85945721034641E-18
1.45799999999999E-05,2751,17227,17227,6622.30252783471,2.05932157464473E-18
1.46799999999999E-05,2746,17232,17232,6623.71969649189,1.19681131534247E-18
1.47799999999999E-05,2736,17242,17242,6616.43530746247,2.36825288093646E-18
1.48799999999999E-05,2731,17247,17247,6604.79251681084,2.87022896816212E-18
1.49799999999999E-05,2723,17255,17255,6606.67572821311,1.53705776684859E-18
1.50799999999999E-05,2712,17266,17266,6586.57662511161,2.68432024198917E-18
1.51799999999999E-05,2704,17274,17274,6591.27573631135,1.71984358856933E-18
1.52799999999999E-05,2695,17283,17283,6587.1561005508,1.54150806141791E-18
1.53799999999999E-05,2686,17292,17292,6564.89687985924,2.30481197420593E-18
1.54799999999999E-05,2682,17296,17296,6566.16937975101,1.72506860684145E-18
1.55799999999999E-05,2675,17303,17303,6570.91653732496,1.75723440356072E-18
1.56799999999999E-05,2668,17310,17310,6560.97240523311,1.95095656302487E-18
1.578E-05,2661,17317,17317,6554.74781182527,2.6969561913882E-18
1.588E-05,2653,17325,17325,6554.16613729448,1.51945655486635E-18
